ICD10 Concept UMLS CUI
<http://purl.bioontology.org/ontology/ICD10/O00-O99.9>	"C0694456"
<http://purl.bioontology.org/ontology/ICD10/H00-H59.9>	"C1314803"
<http://purl.bioontology.org/ontology/ICD10/Q00-Q99.9>	"C0694457"
<http://purl.bioontology.org/ontology/ICD10/S00-T98.9>	"C0694460"
<http://purl.bioontology.org/ontology/ICD10/Z00-Z99.9>	"C0178336"
<http://purl.bioontology.org/ontology/ICD10/A00-B99.9>	"C0694449"
<http://purl.bioontology.org/ontology/ICD10/J00-J99.9>	"C0035204"
<http://purl.bioontology.org/ontology/ICD10/L00-L99.9>	"C0178298"
<http://purl.bioontology.org/ontology/ICD10/C00-D48.9>	"C0027651"
<http://purl.bioontology.org/ontology/ICD10/M00-M99.9>	"C0263660"
<http://purl.bioontology.org/ontology/ICD10/K00-K93.9>	"C0012242"
<http://purl.bioontology.org/ontology/ICD10/G00-G99.9>	"C0027765"
<http://purl.bioontology.org/ontology/ICD10/V01-Y98.9>	"C0478681"
<http://purl.bioontology.org/ontology/ICD10/D50-D89.9>	"C0694451"
<http://purl.bioontology.org/ontology/ICD10/I00-I99.9>	"C0728936"
<http://purl.bioontology.org/ontology/ICD10/R00-R99.9>	"C0694459"
<http://purl.bioontology.org/ontology/ICD10/H60-H95.9>	"C0178269"
<http://purl.bioontology.org/ontology/ICD10/N00-N99.9>	"C0080276"
<http://purl.bioontology.org/ontology/ICD10/F00-F99.9>	"C0556006"
<http://purl.bioontology.org/ontology/ICD10/E00-E90.9>	"C0694452"
<http://purl.bioontology.org/ontology/ICD10/P00-P96.9>	"C0178307"
